year,geo_name,geo,university_name,university,grads_total
2013,"Los Angeles County, CA","05000US06037","Rio Hondo College","121886",1155
2013,"Los Angeles County, CA","05000US06037","Rosemead Beauty School","121992",189
2013,"Los Angeles County, CA","05000US06037","Dongguk University-Los Angeles","122117",70
2013,"Los Angeles County, CA","05000US06037","Westwood College-Los Angeles","122843",915
2013,"Los Angeles County, CA","05000US06037","Santa Monica College","122977",2580
2013,"Los Angeles County, CA","05000US06037","Scripps College","123165",262
2013,"Los Angeles County, CA","05000US06037","Pinnacle College","123581",184
2013,"Los Angeles County, CA","05000US06037","Southern California Institute of Architecture","123952",129
2013,"Los Angeles County, CA","05000US06037","University of Southern California","123961",13442
2013,"Los Angeles County, CA","05000US06037","Southwestern Law School","123970",318
2013,"Los Angeles County, CA","05000US06037","Claremont School of Theology","124283",53
2013,"Los Angeles County, CA","05000US06037","United Education Institute-Huntington Park Campus","124681",3978
2013,"Los Angeles County, CA","05000US06037","Universal College of Beauty Inc-Los Angeles 1","124779",9
2013,"Los Angeles County, CA","05000US06037","Concorde Career College-North Hollywood","124937",431
2013,"Los Angeles County, CA","05000US06037","West Los Angeles College","125471",818
2013,"Los Angeles County, CA","05000US06037","Whittier College","125763",603
2013,"Los Angeles County, CA","05000US06037","Woodbury University","125897",427
2013,"Los Angeles County, CA","05000US06037","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","126076",20
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-Sylmar","244011",297
2013,"Los Angeles County, CA","05000US06037","Antioch University-Los Angeles","245838",346
2013,"Los Angeles County, CA","05000US06037","Platt College-Los Angeles","260789",261
2013,"Los Angeles County, CA","05000US06037","Hypnosis Motivation Institute","368771",107
2013,"Los Angeles County, CA","05000US06037","Los Angeles ORT College-Los Angeles Campus","368780",231
2013,"Los Angeles County, CA","05000US06037","Everest College-West Los Angeles","368805",196
2013,"Los Angeles County, CA","05000US06037","Downey Adult School","371690",639
2013,"Los Angeles County, CA","05000US06037","Thuy Princess Beauty College","372000",68
2013,"Los Angeles County, CA","05000US06037","North-West College-Glendale","372028",86
2013,"Los Angeles County, CA","05000US06037","Everest College-City of Industry","372037",613
2013,"Los Angeles County, CA","05000US06037","Fremont College","372073",212
2013,"Los Angeles County, CA","05000US06037","Pomona Unified School District Adult and Career Education","372082",128
2013,"Los Angeles County, CA","05000US06037","Universal College of Beauty Inc-Los Angeles 2","372240",25
2013,"Los Angeles County, CA","05000US06037","Capstone College","377759",45
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-Torrance","378406",238
2013,"Los Angeles County, CA","05000US06037","Los Angeles ORT College-Van Nuys Campus","381945",226
2013,"Los Angeles County, CA","05000US06037","Hacienda La Puente Adult Education","383084",691
2013,"Los Angeles County, CA","05000US06037","Alhambra Beauty College","393524",122
2013,"Los Angeles County, CA","05000US06037","American Auto Institute","393649",1742
2013,"Los Angeles County, CA","05000US06037","Diversified Vocational College","395690",1071
2013,"Los Angeles County, CA","05000US06037","Mt Sierra College","398130",61
2013,"Los Angeles County, CA","05000US06037","Wyotech-Long Beach","398574",1053
2013,"Los Angeles County, CA","05000US06037","Career Colleges of America","400637",650
2013,"Los Angeles County, CA","05000US06037","World Mission University","401223",53
2013,"Los Angeles County, CA","05000US06037","Yo San University of Traditional Chinese Medicine","401250",35
2013,"Los Angeles County, CA","05000US06037","Coast Career Institute","401339",391
2013,"Los Angeles County, CA","05000US06037","The Art Institute of California-Argosy University Hollywood","410502",280
2013,"Los Angeles County, CA","05000US06037","Marian Health Careers Center-Los Angeles Campus","411684",30
2013,"Los Angeles County, CA","05000US06037","Crimson Technical College","413680",244
2013,"Los Angeles County, CA","05000US06037","East San Gabriel Valley Regional Occupational Program","413802",626
2013,"Los Angeles County, CA","05000US06037","Premiere Career College","416458",289
2013,"Los Angeles County, CA","05000US06037","Baldwin Park Adult & Community Education","417105",246
2013,"Los Angeles County, CA","05000US06037","Le Cordon Bleu College of Culinary Arts-Pasadena","423980",1704
2013,"Los Angeles County, CA","05000US06037","John Wesley International Barber and Beauty College","428125",58
2013,"Los Angeles County, CA","05000US06037","Everest College-Torrance","430980",150
2013,"Los Angeles County, CA","05000US06037","Virginia Sewing Machines and School Center","431956",33
2013,"Los Angeles County, CA","05000US06037","The Art Institute of California-Argosy University Los Angeles","432533",452
2013,"Los Angeles County, CA","05000US06037","American University of Health Sciences","433004",42
2013,"Los Angeles County, CA","05000US06037","Charter College-Canyon Country","434317",1071
2013,"Los Angeles County, CA","05000US06037","Los Angeles Film School","436429",1044
2013,"Los Angeles County, CA","05000US06037","ICDC College","437662",1784
2013,"Los Angeles County, CA","05000US06037","InterCoast Colleges-Burbank","437884",82
2013,"Los Angeles County, CA","05000US06037","CBD College","439367",147
2013,"Los Angeles County, CA","05000US06037","King's University","439701",97
2013,"Los Angeles County, CA","05000US06037","PCI College","439871",38
2013,"Los Angeles County, CA","05000US06037","American Career College at St Francis","439905",57
2013,"Los Angeles County, CA","05000US06037","Keck Graduate Institute","440031",104
2013,"Los Angeles County, CA","05000US06037","West Coast Ultrasound Institute","441229",465
2013,"Los Angeles County, CA","05000US06037","Irell & Manella Graduate School of Biological Sciences at City of Hope","441238",14
2013,"Los Angeles County, CA","05000US06037","David's Academy of Beauty","442204",379
2013,"Los Angeles County, CA","05000US06037","University of Antelope Valley","442930",536
2013,"Los Angeles County, CA","05000US06037","California Healing Arts College","442985",76
2013,"Los Angeles County, CA","05000US06037","NTMA Training Centers of Southern California","443207",640
2013,"Los Angeles County, CA","05000US06037","West Coast University-Los Angeles","443331",341
2013,"Los Angeles County, CA","05000US06037","InterCoast Colleges-West Covina","443571",142
2013,"Los Angeles County, CA","05000US06037","ATI College-Norwalk","444325",33
2013,"Los Angeles County, CA","05000US06037","Advanced College","444343",93
2013,"Los Angeles County, CA","05000US06037","CES College","444510",40
2013,"Los Angeles County, CA","05000US06037","Career Care Institute","446118",346
2013,"Los Angeles County, CA","05000US06037","Los Angeles Music Academy","446385",76
2013,"Los Angeles County, CA","05000US06037","Argosy University-Los Angeles","447272",86
2013,"Los Angeles County, CA","05000US06037","California Career College","447713",34
2013,"Los Angeles County, CA","05000US06037","Palladium Technical Academy","447722",72
2013,"Los Angeles County, CA","05000US06037","Palace Beauty College","447731",173
2013,"Los Angeles County, CA","05000US06037","National Polytechnic College","447759",126
2013,"Los Angeles County, CA","05000US06037","Make-up Designory","449366",611
2013,"Los Angeles County, CA","05000US06037","Video Symphony EnterTraining Inc","449375",169
2013,"Los Angeles County, CA","05000US06037","Gnomon School of Visual Effects","449384",34
2013,"Los Angeles County, CA","05000US06037","Valley College of Medical Careers","449445",42
2013,"Los Angeles County, CA","05000US06037","University of the West","449870",44
2013,"Los Angeles County, CA","05000US06037","Paul Mitchell the School-Sherman Oaks","449986",149
2013,"Los Angeles County, CA","05000US06037","InterCoast Colleges-Carson","450669",101
2013,"Los Angeles County, CA","05000US06037","InfoTech Career College","450960",123
2013,"Los Angeles County, CA","05000US06037","Career College Consultants","451006",127
2013,"Los Angeles County, CA","05000US06037","Academy of Esthetics and Cosmetology","454722",27
2013,"Los Angeles County, CA","05000US06037","Borner's Barber College","454759",5
2013,"Los Angeles County, CA","05000US06037","Paul Mitchell the School-Pasadena","454768",93
2013,"Los Angeles County, CA","05000US06037","Career Development Institute","454801",36
2013,"Los Angeles County, CA","05000US06037","California InterContinental University","455451",49
2013,"Los Angeles County, CA","05000US06037","The Chicago School of Professional Psychology at Los Angeles","455664",101
2013,"Los Angeles County, CA","05000US06037","The Chicago School of Professional Psychology at Westwood","455682",58
2013,"Los Angeles County, CA","05000US06037","Central Nursing College","455743",26
2013,"Los Angeles County, CA","05000US06037","RWM Fiber Optics","455752",50
2013,"Los Angeles County, CA","05000US06037","Providence Christian College","455770",20
2013,"Los Angeles County, CA","05000US06037","National Career College","455868",45
2013,"Los Angeles County, CA","05000US06037","Homestead Schools","457086",82
2013,"Los Angeles County, CA","05000US06037","Beyond 21st Century Beauty Academy","457253",29
2013,"Los Angeles County, CA","05000US06037","Academy for Jewish Religion-California","457271",11
2013,"Los Angeles County, CA","05000US06037","Angeles College","457299",51
2013,"Los Angeles County, CA","05000US06037","Angeles Institute","457314",96
2013,"Los Angeles County, CA","05000US06037","Preferred College of Nursing-Los Angeles","459152",134
2013,"Los Angeles County, CA","05000US06037","Trinity Vocational Center","459161",412
2013,"Los Angeles County, CA","05000US06037","Southern California University SOMA","459222",58
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-West Covina","459684",141
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-Culver City","459693",101
2013,"Los Angeles County, CA","05000US06037","Western Beauty Institute","460686",142
2013,"Los Angeles County, CA","05000US06037","New York Film Academy","461148",843
2013,"Los Angeles County, CA","05000US06037","Galaxy Medical College","461254",67
2013,"Los Angeles County, CA","05000US06037","American Medical Sciences Center","461263",147
2013,"Los Angeles County, CA","05000US06037","Southern California Health Institute","461856",269
2013,"Los Angeles County, CA","05000US06037","Academy for Salon Professionals","462062",61
2013,"Los Angeles County, CA","05000US06037","International College of Beauty Arts & Sciences","462336",14
2013,"Los Angeles County, CA","05000US06037","Carrington College California-Pomona","467368",77
2013,"Los Angeles County, CA","05000US06037","Aveda Institute-Los Angeles","469957",97
2013,"Los Angeles County, CA","05000US06037","Azusa Pacific Online University","474863",21
2013,"Los Angeles County, CA","05000US06037","Marian Health Careers Center-Van Nuys Campus","475282",29
2013,"Los Angeles County, CA","05000US06037","Academy of Couture Art","475635",6
2013,"Los Angeles County, CA","05000US06037","Preferred College of Nursing-Van Nuys","475680",156
2013,"Los Angeles County, CA","05000US06037","Flair Beauty College","476513",49
2013,"Los Angeles County, CA","05000US06037","Medical Allied Career Center","476595",40
2013,"Los Angeles County, CA","05000US06037","Diamond Beauty College","476780",244
2013,"Los Angeles County, CA","05000US06037","SAE Institute of Technology-Los Angeles","476911",85
2013,"Los Angeles County, CA","05000US06037","Brand College","479992",15
2013,"Los Angeles County, CA","05000US06037","Abraham Lincoln University","480444",19
2013,"Los Angeles County, CA","05000US06037","Advanced Computing Institute","481234",36
2013,"Los Angeles County, CA","05000US06037","San Joaquin Valley College-Lancaster","481775",2
2013,"Los Angeles County, CA","05000US06037","American Career College-Long Beach","481854",2
2013,"Los Angeles County, CA","05000US06037","DeVry University-California","482431",2463
2014,"Los Angeles County, CA","05000US06037","American Academy of Dramatic Arts-Los Angeles","108852",109
2014,"Los Angeles County, CA","05000US06037","American Film Institute Conservatory","108870",132
2014,"Los Angeles County, CA","05000US06037","American Beauty College","108977",44
2014,"Los Angeles County, CA","05000US06037","American Career College-Los Angeles","109040",1165
2014,"Los Angeles County, CA","05000US06037","Antelope Valley College","109350",1838
2014,"Los Angeles County, CA","05000US06037","Art Center College of Design","109651",446
2014,"Los Angeles County, CA","05000US06037","Associated Technical College-Los Angeles","109721",282
2014,"Los Angeles County, CA","05000US06037","Azusa Pacific University","109785",2970
2014,"Los Angeles County, CA","05000US06037","Biola University","110097",1330
2014,"Los Angeles County, CA","05000US06037","Bryan University","110219",209
2014,"Los Angeles County, CA","05000US06037","Phillips Graduate Institute","110307",70
2014,"Los Angeles County, CA","05000US06037","California Institute of Technology","110404",526
2014,"Los Angeles County, CA","05000US06037","California State Polytechnic University-Pomona","110529",4552
2014,"Los Angeles County, CA","05000US06037","California State University-Dominguez Hills","110547",3417
2014,"Los Angeles County, CA","05000US06037","California State University-Long Beach","110583",9230
2014,"Los Angeles County, CA","05000US06037","California State University-Los Angeles","110592",4702
2014,"Los Angeles County, CA","05000US06037","California State University-Northridge","110608",9207
2014,"Los Angeles County, CA","05000US06037","University of California-Los Angeles","110662",12067
2014,"Los Angeles County, CA","05000US06037","California Institute of the Arts","111081",411
2014,"Los Angeles County, CA","05000US06037","College of the Canyons","111461",2175
2014,"Los Angeles County, CA","05000US06037","Casa Loma College-Van Nuys","111638",152
