year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2014,"New York, NY","16000US3651000","Disability Studies","050210","Master's Degree","7",24
2013,"New York, NY","16000US3651000","Other Ethnic, Minority, Gender, & Group Studies","050299","Master's Degree","7",5
2015,"New York, NY","16000US3651000","General Communication","090100","Master's Degree","7",9
2015,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Master's Degree","7",57
2013,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Master's Degree","7",110
2014,"New York, NY","16000US3651000","Speech Communication & Rhetoric","090101","Master's Degree","7",137
2015,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Master's Degree","7",159
2013,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Master's Degree","7",224
2014,"New York, NY","16000US3651000","Mass Communication & Media Studies","090102","Master's Degree","7",193
2015,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Master's Degree","7",66
2013,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Master's Degree","7",85
2014,"New York, NY","16000US3651000","Other Communication & Media Studies","090199","Master's Degree","7",98
2015,"New York, NY","16000US3651000","Journalism","090401","Master's Degree","7",210
2013,"New York, NY","16000US3651000","Journalism","090401","Master's Degree","7",471
2014,"New York, NY","16000US3651000","Journalism","090401","Master's Degree","7",501
2015,"New York, NY","16000US3651000","Other Journalism","090499","Master's Degree","7",298
2015,"New York, NY","16000US3651000","Radio & Television","090701","Master's Degree","7",5
2013,"New York, NY","16000US3651000","Radio & Television","090701","Master's Degree","7",8
2014,"New York, NY","16000US3651000","Radio & Television","090701","Master's Degree","7",11
2015,"New York, NY","16000US3651000","Digital Communication & Multimedia","090702","Master's Degree","7",2
2014,"New York, NY","16000US3651000","Digital Communication & Multimedia","090702","Master's Degree","7",1
2015,"New York, NY","16000US3651000","Public Relations, Advertising, & Applied Communication","090900","Master's Degree","7",23
2015,"New York, NY","16000US3651000","Advertising","090903","Master's Degree","7",25
2013,"New York, NY","16000US3651000","Advertising","090903","Master's Degree","7",23
2014,"New York, NY","16000US3651000","Advertising","090903","Master's Degree","7",27
2015,"New York, NY","16000US3651000","International & Intercultural Communication","090907","Master's Degree","7",20
2015,"New York, NY","16000US3651000","Publishing","091001","Master's Degree","7",104
2013,"New York, NY","16000US3651000","Publishing","091001","Master's Degree","7",97
2014,"New York, NY","16000US3651000","Publishing","091001","Master's Degree","7",94
2015,"New York, NY","16000US3651000","Other Communication, Journalism, & Related Programs","099999","Master's Degree","7",211
2013,"New York, NY","16000US3651000","Other Communication, Journalism, & Related Programs","099999","Master's Degree","7",155
2014,"New York, NY","16000US3651000","Other Communication, Journalism, & Related Programs","099999","Master's Degree","7",253
2015,"New York, NY","16000US3651000","Communications Technology","100105","Master's Degree","7",18
2013,"New York, NY","16000US3651000","Communications Technology","100105","Master's Degree","7",12
2014,"New York, NY","16000US3651000","Communications Technology","100105","Master's Degree","7",20
2015,"New York, NY","16000US3651000","Radio & Television Broadcasting Technology","100202","Master's Degree","7",17
2013,"New York, NY","16000US3651000","Radio & Television Broadcasting Technology","100202","Master's Degree","7",20
2014,"New York, NY","16000US3651000","Radio & Television Broadcasting Technology","100202","Master's Degree","7",25
2015,"New York, NY","16000US3651000","Animation, Interactive Technology, Video Graphics, & Special Effects","100304","Master's Degree","7",18
2013,"New York, NY","16000US3651000","Animation, Interactive Technology, Video Graphics, & Special Effects","100304","Master's Degree","7",1
2015,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Master's Degree","7",536
2013,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Master's Degree","7",204
2014,"New York, NY","16000US3651000","General Computer & Information Sciences","110101","Master's Degree","7",333
2015,"New York, NY","16000US3651000","Information Technology","110103","Master's Degree","7",34
2013,"New York, NY","16000US3651000","Information Technology","110103","Master's Degree","7",56
2014,"New York, NY","16000US3651000","Information Technology","110103","Master's Degree","7",57
2015,"New York, NY","16000US3651000","Informatics","110104","Master's Degree","7",22
2014,"New York, NY","16000US3651000","Other Computer & Information Sciences","110199","Master's Degree","7",1
2015,"New York, NY","16000US3651000","Information Science","110401","Master's Degree","7",224
2013,"New York, NY","16000US3651000","Information Science","110401","Master's Degree","7",206
2014,"New York, NY","16000US3651000","Information Science","110401","Master's Degree","7",207
2015,"New York, NY","16000US3651000","Computer Science","110701","Master's Degree","7",352
2013,"New York, NY","16000US3651000","Computer Science","110701","Master's Degree","7",424
2014,"New York, NY","16000US3651000","Computer Science","110701","Master's Degree","7",297
2015,"New York, NY","16000US3651000","Web Page, Digital, & Information Resource Design","110801","Master's Degree","7",130
2013,"New York, NY","16000US3651000","Web Page, Digital, & Information Resource Design","110801","Master's Degree","7",114
2014,"New York, NY","16000US3651000","Web Page, Digital, & Information Resource Design","110801","Master's Degree","7",115
2015,"New York, NY","16000US3651000","Computer Graphics","110803","Master's Degree","7",70
2013,"New York, NY","16000US3651000","Computer Graphics","110803","Master's Degree","7",70
2014,"New York, NY","16000US3651000","Computer Graphics","110803","Master's Degree","7",50
2015,"New York, NY","16000US3651000","Other Computer Software & Media Applications","110899","Master's Degree","7",27
2013,"New York, NY","16000US3651000","Other Computer Software & Media Applications","110899","Master's Degree","7",30
2014,"New York, NY","16000US3651000","Other Computer Software & Media Applications","110899","Master's Degree","7",17
2013,"New York, NY","16000US3651000","Computer Systems Networking & Telecommunications","110901","Master's Degree","7",27
2015,"New York, NY","16000US3651000","Computer & Information Systems Security","111003","Master's Degree","7",36
2013,"New York, NY","16000US3651000","Computer & Information Systems Security","111003","Master's Degree","7",31
2014,"New York, NY","16000US3651000","Computer & Information Systems Security","111003","Master's Degree","7",32
2013,"New York, NY","16000US3651000","Other Computer & Information Technology Services Management","111099","Master's Degree","7",4
2015,"New York, NY","16000US3651000","Other Computer & Information Support Services","119999","Master's Degree","7",11
2013,"New York, NY","16000US3651000","Other Computer & Information Support Services","119999","Master's Degree","7",3
2014,"New York, NY","16000US3651000","Other Computer & Information Support Services","119999","Master's Degree","7",24
2015,"New York, NY","16000US3651000","General Education","130101","Master's Degree","7",6
2013,"New York, NY","16000US3651000","General Education","130101","Master's Degree","7",62
2014,"New York, NY","16000US3651000","General Education","130101","Master's Degree","7",371
2015,"New York, NY","16000US3651000","Bilingual & Multilingual Education","130201","Master's Degree","7",33
2013,"New York, NY","16000US3651000","Bilingual & Multilingual Education","130201","Master's Degree","7",43
2014,"New York, NY","16000US3651000","Bilingual & Multilingual Education","130201","Master's Degree","7",50
2015,"New York, NY","16000US3651000","Multicultural Education","130202","Master's Degree","7",16
