year,geo_name,geo,university_name,university,grads_men,grads_women
2013,"New York, NY","16000US3651000","New York Theological Seminary","193894",60,51
2013,"New York, NY","16000US3651000","New York University","193900",6240,8869
2013,"New York, NY","16000US3651000","New York College of Podiatric Medicine","194073",35,38
2013,"New York, NY","16000US3651000","New York School of Interior Design","194116",18,124
2013,"New York, NY","16000US3651000","Pace University-New York","194310",1345,2061
2013,"New York, NY","16000US3651000","Plaza College","194499",47,232
2013,"New York, NY","16000US3651000","Polytechnic Institute of New York University","194541",1091,366
2013,"New York, NY","16000US3651000","Pratt Institute-Main","194578",428,959
2013,"New York, NY","16000US3651000","Professional Business College","194611",100,198
2013,"New York, NY","16000US3651000","Rabbinical Academy Mesivta Rabbi Chaim Berlin","194657",51,0
2013,"New York, NY","16000US3651000","Rabbinical College Bobover Yeshiva Bnei Zion","194666",71,0
2013,"New York, NY","16000US3651000","Rabbinical College of Ch'san Sofer New York","194675",2,0
2013,"New York, NY","16000US3651000","Rabbinical Seminary M'kor Chaim","194718",7,0
2013,"New York, NY","16000US3651000","Rabbinical Seminary of America","194763",106,0
2013,"New York, NY","16000US3651000","Rockefeller University","195049",10,12
2013,"New York, NY","16000US3651000","Empire Beauty School-Manhattan","195067",30,433
2013,"New York, NY","16000US3651000","St Francis College","195173",241,337
2013,"New York, NY","16000US3651000","Saint Joseph's College-New York","195544",370,1171
2013,"New York, NY","16000US3651000","Spanish-American Institute","195623",0,0
2013,"New York, NY","16000US3651000","St Paul's School of Nursing-Staten Island","195784",39,259
2013,"New York, NY","16000US3651000","St John's University-New York","195809",1879,2440
2013,"New York, NY","16000US3651000","New York Career Institute","195845",15,110
2013,"New York, NY","16000US3651000","SUNY College of Optometry","196228",20,68
2013,"New York, NY","16000US3651000","SUNY Downstate Medical Center","196255",183,385
2013,"New York, NY","16000US3651000","SUNY Maritime College","196291",359,54
2013,"New York, NY","16000US3651000","Swedish Institute a College of Health Sciences","196389",28,142
2013,"New York, NY","16000US3651000","Talmudical Seminary Oholei Torah","196431",3,0
2013,"New York, NY","16000US3651000","Teachers College at Columbia University","196468",534,1659
2013,"New York, NY","16000US3651000","Technical Career Institutes","196477",622,452
2013,"New York, NY","16000US3651000","Torah Temimah Talmudical Seminary","196583",2,0
2013,"New York, NY","16000US3651000","Touro College","196592",1268,3338
2013,"New York, NY","16000US3651000","Sanford-Brown Institute-New York","196857",97,968
2013,"New York, NY","16000US3651000","Union Theological Seminary in the City of New York","196884",42,47
2013,"New York, NY","16000US3651000","United Talmudical Seminary","197018",194,0
2013,"New York, NY","16000US3651000","School of Visual Arts","197151",423,672
2013,"New York, NY","16000US3651000","Wagner College","197197",202,410
2013,"New York, NY","16000US3651000","Wood Tobe-Coburn School","197522",75,228
2013,"New York, NY","16000US3651000","Yeshiva Karlin Stolin","197601",16,0
2013,"New York, NY","16000US3651000","Yeshivat Mikdash Melech","197610",5,0
2013,"New York, NY","16000US3651000","Yeshiva Derech Chaim","197647",8,0
2013,"New York, NY","16000US3651000","Yeshiva Shaar Hatorah","197692",9,0
2013,"New York, NY","16000US3651000","Yeshiva University","197708",833,1238
2013,"New York, NY","16000US3651000","Hebrew Union College-Jewish Institute of Religion","203067",65,90
2013,"New York, NY","16000US3651000","Yeshiva and Kollel Harbotzas Torah","245731",8,0
2013,"New York, NY","16000US3651000","The Art Institute of New York City","365055",139,193
2013,"New York, NY","16000US3651000","New York Academy of Art","366368",24,31
2013,"New York, NY","16000US3651000","Yeshiva Gedolah Imrei Yosef D'spinka","375230",33,0
2013,"New York, NY","16000US3651000","Dance Theatre of Harlem Inc","383507",1,3
2013,"New York, NY","16000US3651000","Empire Beauty School-Brooklyn","383765",0,1
2013,"New York, NY","16000US3651000","Seminar L'moros Bais Yaakov","386153",0,239
2013,"New York, NY","16000US3651000","School of Professional Horticulture at the New York Botanical Garden","392354",10,10
2013,"New York, NY","16000US3651000","ASA College","404994",408,1001
2013,"New York, NY","16000US3651000","Yeshivas Novominsk","405058",1,0
2013,"New York, NY","16000US3651000","Rabbinical College of Ohr Shimon Yisroel","405854",28,0
2013,"New York, NY","16000US3651000","Pacific College of Oriental Medicine-New York","414595",47,85
2013,"New York, NY","16000US3651000","Allen School-Jamaica","415987",27,285
2013,"New York, NY","16000US3651000","Charles Stuart School of Diamond Setting","418171",26,1
2013,"New York, NY","16000US3651000","Manhattan School of Computer Technology","420981",100,201
2013,"New York, NY","16000US3651000","New York Conservatory for Dramatic Arts","421841",31,58
2013,"New York, NY","16000US3651000","Merkaz Bnos-Business School","427308",8,78
2013,"New York, NY","16000US3651000","Lia Schorr Institute of Cosmetic Skin Care Training","427335",0,36
2013,"New York, NY","16000US3651000","Studio Jewelers","430564",38,110
