year,geo_name,geo,university_name,university,grads_total
2013,"New York, NY","16000US3651000","Pratt Institute-Main","194578",1387
2013,"New York, NY","16000US3651000","Professional Business College","194611",298
2013,"New York, NY","16000US3651000","Rabbinical Academy Mesivta Rabbi Chaim Berlin","194657",51
2013,"New York, NY","16000US3651000","Rabbinical College Bobover Yeshiva Bnei Zion","194666",71
2013,"New York, NY","16000US3651000","Rabbinical College of Ch'san Sofer New York","194675",2
2013,"New York, NY","16000US3651000","Rabbinical Seminary M'kor Chaim","194718",7
2013,"New York, NY","16000US3651000","Rabbinical Seminary of America","194763",106
2013,"New York, NY","16000US3651000","Rockefeller University","195049",22
2013,"New York, NY","16000US3651000","Empire Beauty School-Manhattan","195067",463
2013,"New York, NY","16000US3651000","St Francis College","195173",578
2013,"New York, NY","16000US3651000","Saint Joseph's College-New York","195544",1541
2013,"New York, NY","16000US3651000","St Paul's School of Nursing-Staten Island","195784",298
2013,"New York, NY","16000US3651000","St John's University-New York","195809",4319
2013,"New York, NY","16000US3651000","New York Career Institute","195845",125
2013,"New York, NY","16000US3651000","SUNY College of Optometry","196228",88
2013,"New York, NY","16000US3651000","SUNY Downstate Medical Center","196255",568
2013,"New York, NY","16000US3651000","SUNY Maritime College","196291",413
2013,"New York, NY","16000US3651000","Swedish Institute a College of Health Sciences","196389",170
2013,"New York, NY","16000US3651000","Talmudical Seminary Oholei Torah","196431",3
2013,"New York, NY","16000US3651000","Teachers College at Columbia University","196468",2193
2013,"New York, NY","16000US3651000","Technical Career Institutes","196477",1074
2013,"New York, NY","16000US3651000","Torah Temimah Talmudical Seminary","196583",2
2013,"New York, NY","16000US3651000","Touro College","196592",4606
2013,"New York, NY","16000US3651000","Sanford-Brown Institute-New York","196857",1065
2013,"New York, NY","16000US3651000","Union Theological Seminary in the City of New York","196884",89
2013,"New York, NY","16000US3651000","United Talmudical Seminary","197018",194
2013,"New York, NY","16000US3651000","School of Visual Arts","197151",1095
2013,"New York, NY","16000US3651000","Wagner College","197197",612
2013,"New York, NY","16000US3651000","Wood Tobe-Coburn School","197522",303
2013,"New York, NY","16000US3651000","Yeshiva Karlin Stolin","197601",16
2013,"New York, NY","16000US3651000","Yeshivat Mikdash Melech","197610",5
2013,"New York, NY","16000US3651000","Yeshiva Derech Chaim","197647",8
2013,"New York, NY","16000US3651000","Yeshiva Shaar Hatorah","197692",9
2013,"New York, NY","16000US3651000","Yeshiva University","197708",2071
2013,"New York, NY","16000US3651000","Hebrew Union College-Jewish Institute of Religion","203067",155
2013,"New York, NY","16000US3651000","Yeshiva and Kollel Harbotzas Torah","245731",8
2013,"New York, NY","16000US3651000","The Art Institute of New York City","365055",332
2013,"New York, NY","16000US3651000","New York Academy of Art","366368",55
2013,"New York, NY","16000US3651000","Yeshiva Gedolah Imrei Yosef D'spinka","375230",33
2013,"New York, NY","16000US3651000","Dance Theatre of Harlem Inc","383507",4
2013,"New York, NY","16000US3651000","Empire Beauty School-Brooklyn","383765",1
2013,"New York, NY","16000US3651000","Seminar L'moros Bais Yaakov","386153",239
2013,"New York, NY","16000US3651000","School of Professional Horticulture at the New York Botanical Garden","392354",20
2013,"New York, NY","16000US3651000","ASA College","404994",1409
2013,"New York, NY","16000US3651000","Yeshivas Novominsk","405058",1
2013,"New York, NY","16000US3651000","Rabbinical College of Ohr Shimon Yisroel","405854",28
2013,"New York, NY","16000US3651000","Pacific College of Oriental Medicine-New York","414595",132
2013,"New York, NY","16000US3651000","Allen School-Jamaica","415987",312
2013,"New York, NY","16000US3651000","Charles Stuart School of Diamond Setting","418171",27
2013,"New York, NY","16000US3651000","Manhattan School of Computer Technology","420981",301
2013,"New York, NY","16000US3651000","New York Conservatory for Dramatic Arts","421841",89
2013,"New York, NY","16000US3651000","Merkaz Bnos-Business School","427308",86
2013,"New York, NY","16000US3651000","Lia Schorr Institute of Cosmetic Skin Care Training","427335",36
2013,"New York, NY","16000US3651000","Studio Jewelers","430564",148
2013,"New York, NY","16000US3651000","Yeshiva of the Telshe Alumni","431983",1
2013,"New York, NY","16000US3651000","New York Automotive and Diesel Institute","440262",351
2013,"New York, NY","16000US3651000","Metropolitan Learning Institute","441575",391
2013,"New York, NY","16000US3651000","Career Institute of Health and Technology","443553",197
2013,"New York, NY","16000US3651000","Beis Medrash Heichal Dovid","444413",8
2013,"New York, NY","16000US3651000","Carsten Institute of Cosmetology","447430",111
2013,"New York, NY","16000US3651000","Elite Academy of Beauty Arts","448053",65
2013,"New York, NY","16000US3651000","Aveda Institute-New York","448071",238
2013,"New York, NY","16000US3651000","Brittany Beauty School","449311",139
2013,"New York, NY","16000US3651000","Lincoln Technical Institute-Whitestone","449320",465
2013,"New York, NY","16000US3651000","Ace Computer Training Center","449676",55
2013,"New York, NY","16000US3651000","New Age Training","449685",265
2013,"New York, NY","16000US3651000","Talmudical Seminary of Bobov","451404",22
2013,"New York, NY","16000US3651000","New York Methodist Hospital Center for Allied Health Education","451413",184
2013,"New York, NY","16000US3651000","Institute of Allied Medical Professions-New York","451422",75
2013,"New York, NY","16000US3651000","Micropower Career Institute","451440",224
2013,"New York, NY","16000US3651000","The Kings College","454184",75
2013,"New York, NY","16000US3651000","Career School of NY","455220",42
2013,"New York, NY","16000US3651000","Yeshiva of Machzikai Hadas","455257",38
2013,"New York, NY","16000US3651000","EDP School of Computer Programming","457794",45
2013,"New York, NY","16000US3651000","New York Medical Career Training Center","457800",126
2013,"New York, NY","16000US3651000","Institute of Culinary Education","457819",566
2013,"New York, NY","16000US3651000","New Life Business Institute","457828",138
2013,"New York, NY","16000US3651000","Academy of Cosmetology and Esthetics NYC","457855",82
2013,"New York, NY","16000US3651000","Gerstner Sloan-Kettering Graduate School of Biomedical Sciences","458511",6
2013,"New York, NY","16000US3651000","SAE Institute of Technology-New York","459462",229
2013,"New York, NY","16000US3651000","Hair Design Institute at Fifth Avenue-New York","460446",169
2013,"New York, NY","16000US3651000","Mildred Elley-New York Campus","461014",228
2013,"New York, NY","16000US3651000","The Collective School Of Music","461157",46
2013,"New York, NY","16000US3651000","Manhattan Institute","461351",1677
2013,"New York, NY","16000US3651000","Atelier Esthetique Institute of Esthetics","461768",142
2013,"New York, NY","16000US3651000","Christie's Education","475510",34
2013,"New York, NY","16000US3651000","Miami Ad School-New York","476355",13
2013,"New York, NY","16000US3651000","Access Careers","476504",671
2013,"New York, NY","16000US3651000","Digital Film Academy","480028",48
2013,"New York, NY","16000US3651000","Sotheby's Institute of Art-NY","481094",118
2013,"New York, NY","16000US3651000","American Academy of Personal Training","481164",240
2013,"New York, NY","16000US3651000","Arrojo Cosmetology School","482194",57
2013,"New York, NY","16000US3651000","DeVry College of New York","482413",467
2014,"New York, NY","16000US3651000","Tri-State College of Acupuncture","130581",29
2014,"New York, NY","16000US3651000","Vaughn College of Aeronautics and Technology","188340",394
2014,"New York, NY","16000US3651000","Globe Institute of Technology","188465",110
2014,"New York, NY","16000US3651000","Allen School-Brooklyn","188650",341
2014,"New York, NY","16000US3651000","The Ailey School","188669",43
2014,"New York, NY","16000US3651000","American Academy of Dramatic Arts-New York","188678",77
2014,"New York, NY","16000US3651000","American Academy McAllister Institute of Funeral Service","188687",92
2014,"New York, NY","16000US3651000","Joffrey Ballet School","188696",3
2014,"New York, NY","16000US3651000","American Musical and Dramatic Academy","188854",482
2014,"New York, NY","16000US3651000","Apex Technical School","188890",938
2014,"New York, NY","16000US3651000","Associated Beth Rivkah Schools","188942",96
2014,"New York, NY","16000US3651000","Bank Street College of Education","189015",351
2014,"New York, NY","16000US3651000","Barnard College","189097",618
2014,"New York, NY","16000US3651000","Berk Trade and Business School","189219",229
2014,"New York, NY","16000US3651000","Berkeley College-New York","189228",1206
2014,"New York, NY","16000US3651000","Beth Hatalmud Rabbinical College","189264",5
2014,"New York, NY","16000US3651000","Beth Hamedrash Shaarei Yosher Institute","189273",1
2014,"New York, NY","16000US3651000","Phillips Beth Israel School of Nursing","189282",116
2014,"New York, NY","16000US3651000","Hair Design Institute at Fifth Avenue-Brooklyn","189404",136
2014,"New York, NY","16000US3651000","Boricua College","189413",314
2014,"New York, NY","16000US3651000","Bramson ORT College","189422",278
2014,"New York, NY","16000US3651000","American Beauty School","189477",126
2014,"New York, NY","16000US3651000","Brooklyn Law School","189501",389
2014,"New York, NY","16000US3651000","St Paul's School of Nursing-Queens","189811",211
2014,"New York, NY","16000US3651000","Central Yeshiva Tomchei Tmimim Lubavitz","189857",161
2014,"New York, NY","16000US3651000","Christine Valmy International School for Esthetics, Skin Care & Makeup","189990",313
2014,"New York, NY","16000US3651000","Circle in the Square Theater School","190008",32
2014,"New York, NY","16000US3651000","Metropolitan College of New York","190114",496
2014,"New York, NY","16000US3651000","Columbia University in the City of New York","190150",12101
2014,"New York, NY","16000US3651000","Empire Beauty School-Queens","190239",125
2014,"New York, NY","16000US3651000","Cooper Union for the Advancement of Science and Art","190372",239
2014,"New York, NY","16000US3651000","Weill Cornell Medical College","190424",257
2014,"New York, NY","16000US3651000","CUNY Bernard M Baruch College","190512",4748
2014,"New York, NY","16000US3651000","CUNY Borough of Manhattan Community College","190521",3242
2014,"New York, NY","16000US3651000","CUNY Bronx Community College","190530",1497
2014,"New York, NY","16000US3651000","CUNY Brooklyn College","190549",3516
2014,"New York, NY","16000US3651000","College of Staten Island CUNY","190558",2088
2014,"New York, NY","16000US3651000","CUNY City College","190567",3157
2014,"New York, NY","16000US3651000","CUNY Graduate School and University Center","190576",1818
2014,"New York, NY","16000US3651000","CUNY Hostos Community College","190585",862
2014,"New York, NY","16000US3651000","CUNY Hunter College","190594",5398
2014,"New York, NY","16000US3651000","CUNY John Jay College of Criminal Justice","190600",3227
2014,"New York, NY","16000US3651000","CUNY Kingsborough Community College","190619",2831
