year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2014,"Los Angeles County, CA","05000US06037","Bioengineering & Biomedical Engineering","140501","Research Doctorate","17",40
2015,"Los Angeles County, CA","05000US06037","Chemical Engineering","140701","Research Doctorate","17",33
2013,"Los Angeles County, CA","05000US06037","Chemical Engineering","140701","Research Doctorate","17",38
2014,"Los Angeles County, CA","05000US06037","Chemical Engineering","140701","Research Doctorate","17",23
2015,"Los Angeles County, CA","05000US06037","General Civil Engineering","140801","Research Doctorate","17",21
2013,"Los Angeles County, CA","05000US06037","General Civil Engineering","140801","Research Doctorate","17",21
2014,"Los Angeles County, CA","05000US06037","General Civil Engineering","140801","Research Doctorate","17",36
2015,"Los Angeles County, CA","05000US06037","General Computer Engineering","140901","Research Doctorate","17",4
2013,"Los Angeles County, CA","05000US06037","General Computer Engineering","140901","Research Doctorate","17",3
2014,"Los Angeles County, CA","05000US06037","General Computer Engineering","140901","Research Doctorate","17",2
2015,"Los Angeles County, CA","05000US06037","Electrical & Electronics Engineering","141001","Research Doctorate","17",105
2013,"Los Angeles County, CA","05000US06037","Electrical & Electronics Engineering","141001","Research Doctorate","17",97
2014,"Los Angeles County, CA","05000US06037","Electrical & Electronics Engineering","141001","Research Doctorate","17",87
2015,"Los Angeles County, CA","05000US06037","Engineering Mechanics","141101","Research Doctorate","17",2
2013,"Los Angeles County, CA","05000US06037","Engineering Mechanics","141101","Research Doctorate","17",1
2015,"Los Angeles County, CA","05000US06037","Engineering Physics & Applied Physics","141201","Research Doctorate","17",9
2013,"Los Angeles County, CA","05000US06037","Engineering Physics & Applied Physics","141201","Research Doctorate","17",11
2014,"Los Angeles County, CA","05000US06037","Engineering Physics & Applied Physics","141201","Research Doctorate","17",3
2015,"Los Angeles County, CA","05000US06037","Environmental Health Engineering","141401","Research Doctorate","17",3
2013,"Los Angeles County, CA","05000US06037","Environmental Health Engineering","141401","Research Doctorate","17",7
2014,"Los Angeles County, CA","05000US06037","Environmental Health Engineering","141401","Research Doctorate","17",4
2015,"Los Angeles County, CA","05000US06037","Materials Engineering","141801","Research Doctorate","17",21
2013,"Los Angeles County, CA","05000US06037","Materials Engineering","141801","Research Doctorate","17",27
2014,"Los Angeles County, CA","05000US06037","Materials Engineering","141801","Research Doctorate","17",24
2015,"Los Angeles County, CA","05000US06037","Mechanical Engineering","141901","Research Doctorate","17",40
2013,"Los Angeles County, CA","05000US06037","Mechanical Engineering","141901","Research Doctorate","17",37
2014,"Los Angeles County, CA","05000US06037","Mechanical Engineering","141901","Research Doctorate","17",37
2015,"Los Angeles County, CA","05000US06037","Petroleum Engineering","142501","Research Doctorate","17",3
2014,"Los Angeles County, CA","05000US06037","Petroleum Engineering","142501","Research Doctorate","17",4
2013,"Los Angeles County, CA","05000US06037","Systems Engineering","142701","Research Doctorate","17",5
2014,"Los Angeles County, CA","05000US06037","Systems Engineering","142701","Research Doctorate","17",4
2015,"Los Angeles County, CA","05000US06037","Industrial Engineering","143501","Research Doctorate","17",6
2013,"Los Angeles County, CA","05000US06037","Industrial Engineering","143501","Research Doctorate","17",8
2014,"Los Angeles County, CA","05000US06037","Industrial Engineering","143501","Research Doctorate","17",6
2015,"Los Angeles County, CA","05000US06037","Linguistics","160102","Research Doctorate","17",17
2013,"Los Angeles County, CA","05000US06037","Linguistics","160102","Research Doctorate","17",21
2014,"Los Angeles County, CA","05000US06037","Linguistics","160102","Research Doctorate","17",19
2015,"Los Angeles County, CA","05000US06037","Comparative Literature","160104","Research Doctorate","17",6
2013,"Los Angeles County, CA","05000US06037","Comparative Literature","160104","Research Doctorate","17",17
2014,"Los Angeles County, CA","05000US06037","Comparative Literature","160104","Research Doctorate","17",8
2015,"Los Angeles County, CA","05000US06037","Other Linguistic, Comparative, Related Language Studies & Services","160199","Research Doctorate","17",6
2014,"Los Angeles County, CA","05000US06037","Other Linguistic, Comparative, Related Language Studies & Services","160199","Research Doctorate","17",1
2015,"Los Angeles County, CA","05000US06037","General East Asian Languages, Literatures, & Linguistics","160300","Research Doctorate","17",1
