year,geo_name,geo,university_name,university,grads_men,grads_women
2013,"Los Angeles County, CA","05000US06037","Pomona College","121345",222,214
2013,"Los Angeles County, CA","05000US06037","Westwood College-South Bay","121381",80,104
2013,"Los Angeles County, CA","05000US06037","Professional Institute of Beauty","121433",5,74
2013,"Los Angeles County, CA","05000US06037","Pardee RAND Graduate School","121628",17,7
2013,"Los Angeles County, CA","05000US06037","Rio Hondo College","121886",534,621
2013,"Los Angeles County, CA","05000US06037","Rosemead Beauty School","121992",32,157
2013,"Los Angeles County, CA","05000US06037","Dongguk University-Los Angeles","122117",29,41
2013,"Los Angeles County, CA","05000US06037","Westwood College-Los Angeles","122843",441,474
2013,"Los Angeles County, CA","05000US06037","Santa Monica College","122977",1035,1545
2013,"Los Angeles County, CA","05000US06037","Scripps College","123165",2,260
2013,"Los Angeles County, CA","05000US06037","Pinnacle College","123581",172,12
2013,"Los Angeles County, CA","05000US06037","Southern California Institute of Architecture","123952",83,46
2013,"Los Angeles County, CA","05000US06037","University of Southern California","123961",6462,6980
2013,"Los Angeles County, CA","05000US06037","Southwestern Law School","123970",151,167
2013,"Los Angeles County, CA","05000US06037","Claremont School of Theology","124283",26,27
2013,"Los Angeles County, CA","05000US06037","United Education Institute-Huntington Park Campus","124681",1117,2861
2013,"Los Angeles County, CA","05000US06037","Universal College of Beauty Inc-Los Angeles 1","124779",1,8
2013,"Los Angeles County, CA","05000US06037","Concorde Career College-North Hollywood","124937",130,301
2013,"Los Angeles County, CA","05000US06037","West Los Angeles College","125471",271,547
2013,"Los Angeles County, CA","05000US06037","Whittier College","125763",283,320
2013,"Los Angeles County, CA","05000US06037","Woodbury University","125897",190,237
2013,"Los Angeles County, CA","05000US06037","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","126076",20,0
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-Sylmar","244011",236,61
2013,"Los Angeles County, CA","05000US06037","Antioch University-Los Angeles","245838",88,258
2013,"Los Angeles County, CA","05000US06037","Platt College-Los Angeles","260789",90,171
2013,"Los Angeles County, CA","05000US06037","Hypnosis Motivation Institute","368771",35,72
2013,"Los Angeles County, CA","05000US06037","Los Angeles ORT College-Los Angeles Campus","368780",69,162
2013,"Los Angeles County, CA","05000US06037","Everest College-West Los Angeles","368805",63,133
2013,"Los Angeles County, CA","05000US06037","Downey Adult School","371690",151,488
2013,"Los Angeles County, CA","05000US06037","Thuy Princess Beauty College","372000",6,62
2013,"Los Angeles County, CA","05000US06037","North-West College-Glendale","372028",12,74
2013,"Los Angeles County, CA","05000US06037","Everest College-City of Industry","372037",159,454
2013,"Los Angeles County, CA","05000US06037","Fremont College","372073",88,124
2013,"Los Angeles County, CA","05000US06037","Pomona Unified School District Adult and Career Education","372082",39,89
2013,"Los Angeles County, CA","05000US06037","Universal College of Beauty Inc-Los Angeles 2","372240",1,24
2013,"Los Angeles County, CA","05000US06037","Capstone College","377759",40,5
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-Torrance","378406",181,57
2013,"Los Angeles County, CA","05000US06037","Los Angeles ORT College-Van Nuys Campus","381945",71,155
2013,"Los Angeles County, CA","05000US06037","Hacienda La Puente Adult Education","383084",232,459
2013,"Los Angeles County, CA","05000US06037","Alhambra Beauty College","393524",4,118
2013,"Los Angeles County, CA","05000US06037","American Auto Institute","393649",442,1300
2013,"Los Angeles County, CA","05000US06037","Diversified Vocational College","395690",367,704
2013,"Los Angeles County, CA","05000US06037","Mt Sierra College","398130",45,16
2013,"Los Angeles County, CA","05000US06037","Wyotech-Long Beach","398574",946,107
2013,"Los Angeles County, CA","05000US06037","Career Colleges of America","400637",128,522
2013,"Los Angeles County, CA","05000US06037","World Mission University","401223",28,25
2013,"Los Angeles County, CA","05000US06037","Yo San University of Traditional Chinese Medicine","401250",9,26
2013,"Los Angeles County, CA","05000US06037","Coast Career Institute","401339",221,170
2013,"Los Angeles County, CA","05000US06037","The Art Institute of California-Argosy University Hollywood","410502",98,182
2013,"Los Angeles County, CA","05000US06037","Marian Health Careers Center-Los Angeles Campus","411684",11,19
2013,"Los Angeles County, CA","05000US06037","Crimson Technical College","413680",238,6
2013,"Los Angeles County, CA","05000US06037","East San Gabriel Valley Regional Occupational Program","413802",280,346
2013,"Los Angeles County, CA","05000US06037","Premiere Career College","416458",76,213
2013,"Los Angeles County, CA","05000US06037","Baldwin Park Adult & Community Education","417105",100,146
2013,"Los Angeles County, CA","05000US06037","Le Cordon Bleu College of Culinary Arts-Pasadena","423980",789,915
2013,"Los Angeles County, CA","05000US06037","John Wesley International Barber and Beauty College","428125",39,19
2013,"Los Angeles County, CA","05000US06037","Everest College-Torrance","430980",33,117
2013,"Los Angeles County, CA","05000US06037","Virginia Sewing Machines and School Center","431956",4,29
2013,"Los Angeles County, CA","05000US06037","The Art Institute of California-Argosy University Los Angeles","432533",264,188
2013,"Los Angeles County, CA","05000US06037","American University of Health Sciences","433004",10,32
2013,"Los Angeles County, CA","05000US06037","Charter College-Canyon Country","434317",240,831
2013,"Los Angeles County, CA","05000US06037","Los Angeles Film School","436429",896,148
2013,"Los Angeles County, CA","05000US06037","ICDC College","437662",646,1138
2013,"Los Angeles County, CA","05000US06037","InterCoast Colleges-Burbank","437884",60,22
2013,"Los Angeles County, CA","05000US06037","CBD College","439367",50,97
2013,"Los Angeles County, CA","05000US06037","King's University","439701",68,29
2013,"Los Angeles County, CA","05000US06037","PCI College","439871",12,26
2013,"Los Angeles County, CA","05000US06037","American Career College at St Francis","439905",7,50
2013,"Los Angeles County, CA","05000US06037","Keck Graduate Institute","440031",59,45
2013,"Los Angeles County, CA","05000US06037","West Coast Ultrasound Institute","441229",213,252
2013,"Los Angeles County, CA","05000US06037","Irell & Manella Graduate School of Biological Sciences at City of Hope","441238",5,9
2013,"Los Angeles County, CA","05000US06037","David's Academy of Beauty","442204",114,265
2013,"Los Angeles County, CA","05000US06037","University of Antelope Valley","442930",218,318
2013,"Los Angeles County, CA","05000US06037","California Healing Arts College","442985",41,35
2013,"Los Angeles County, CA","05000US06037","NTMA Training Centers of Southern California","443207",628,12
2013,"Los Angeles County, CA","05000US06037","West Coast University-Los Angeles","443331",75,266
2013,"Los Angeles County, CA","05000US06037","InterCoast Colleges-West Covina","443571",92,50
2013,"Los Angeles County, CA","05000US06037","ATI College-Norwalk","444325",7,26
2013,"Los Angeles County, CA","05000US06037","Advanced College","444343",9,84
2013,"Los Angeles County, CA","05000US06037","CES College","444510",5,35
2013,"Los Angeles County, CA","05000US06037","Career Care Institute","446118",61,285
2013,"Los Angeles County, CA","05000US06037","Los Angeles Music Academy","446385",65,11
2013,"Los Angeles County, CA","05000US06037","Argosy University-Los Angeles","447272",25,61
2013,"Los Angeles County, CA","05000US06037","California Career College","447713",7,27
2013,"Los Angeles County, CA","05000US06037","Palladium Technical Academy","447722",11,61
2013,"Los Angeles County, CA","05000US06037","Palace Beauty College","447731",4,169
2013,"Los Angeles County, CA","05000US06037","National Polytechnic College","447759",28,98
2013,"Los Angeles County, CA","05000US06037","Make-up Designory","449366",30,581
2013,"Los Angeles County, CA","05000US06037","Video Symphony EnterTraining Inc","449375",132,37
2013,"Los Angeles County, CA","05000US06037","Gnomon School of Visual Effects","449384",23,11
2013,"Los Angeles County, CA","05000US06037","Valley College of Medical Careers","449445",16,26
2013,"Los Angeles County, CA","05000US06037","University of the West","449870",28,16
2013,"Los Angeles County, CA","05000US06037","Paul Mitchell the School-Sherman Oaks","449986",13,136
2013,"Los Angeles County, CA","05000US06037","InterCoast Colleges-Carson","450669",46,55
2013,"Los Angeles County, CA","05000US06037","InfoTech Career College","450960",7,116
2013,"Los Angeles County, CA","05000US06037","Career College Consultants","451006",40,87
2013,"Los Angeles County, CA","05000US06037","Academy of Esthetics and Cosmetology","454722",0,27
2013,"Los Angeles County, CA","05000US06037","Borner's Barber College","454759",5,0
2013,"Los Angeles County, CA","05000US06037","Paul Mitchell the School-Pasadena","454768",3,90
2013,"Los Angeles County, CA","05000US06037","Career Development Institute","454801",7,29
2013,"Los Angeles County, CA","05000US06037","California InterContinental University","455451",34,15
2013,"Los Angeles County, CA","05000US06037","The Chicago School of Professional Psychology at Los Angeles","455664",16,85
2013,"Los Angeles County, CA","05000US06037","The Chicago School of Professional Psychology at Westwood","455682",11,47
2013,"Los Angeles County, CA","05000US06037","Central Nursing College","455743",7,19
2013,"Los Angeles County, CA","05000US06037","RWM Fiber Optics","455752",50,0
2013,"Los Angeles County, CA","05000US06037","Providence Christian College","455770",3,17
2013,"Los Angeles County, CA","05000US06037","National Career College","455868",23,22
2013,"Los Angeles County, CA","05000US06037","Homestead Schools","457086",14,68
2013,"Los Angeles County, CA","05000US06037","Beyond 21st Century Beauty Academy","457253",2,27
2013,"Los Angeles County, CA","05000US06037","Academy for Jewish Religion-California","457271",3,8
2013,"Los Angeles County, CA","05000US06037","Angeles College","457299",7,44
2013,"Los Angeles County, CA","05000US06037","Angeles Institute","457314",31,65
2013,"Los Angeles County, CA","05000US06037","Preferred College of Nursing-Los Angeles","459152",41,93
2013,"Los Angeles County, CA","05000US06037","Trinity Vocational Center","459161",113,299
2013,"Los Angeles County, CA","05000US06037","Southern California University SOMA","459222",30,28
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-West Covina","459684",98,43
2013,"Los Angeles County, CA","05000US06037","ITT Technical Institute-Culver City","459693",75,26
2013,"Los Angeles County, CA","05000US06037","Western Beauty Institute","460686",29,113
2013,"Los Angeles County, CA","05000US06037","New York Film Academy","461148",472,371
2013,"Los Angeles County, CA","05000US06037","Galaxy Medical College","461254",15,52
2013,"Los Angeles County, CA","05000US06037","American Medical Sciences Center","461263",47,100
2013,"Los Angeles County, CA","05000US06037","Southern California Health Institute","461856",114,155
2013,"Los Angeles County, CA","05000US06037","Academy for Salon Professionals","462062",1,60
2013,"Los Angeles County, CA","05000US06037","International College of Beauty Arts & Sciences","462336",0,14
2013,"Los Angeles County, CA","05000US06037","Carrington College California-Pomona","467368",7,70
2013,"Los Angeles County, CA","05000US06037","Aveda Institute-Los Angeles","469957",9,88
2013,"Los Angeles County, CA","05000US06037","Azusa Pacific Online University","474863",6,15
2013,"Los Angeles County, CA","05000US06037","Marian Health Careers Center-Van Nuys Campus","475282",7,22
2013,"Los Angeles County, CA","05000US06037","Academy of Couture Art","475635",1,5
2013,"Los Angeles County, CA","05000US06037","Preferred College of Nursing-Van Nuys","475680",48,108
2013,"Los Angeles County, CA","05000US06037","Annenberg School of Nursing","475705",0,0
2013,"Los Angeles County, CA","05000US06037","Flair Beauty College","476513",1,48
2013,"Los Angeles County, CA","05000US06037","Medical Allied Career Center","476595",12,28
2013,"Los Angeles County, CA","05000US06037","Diamond Beauty College","476780",40,204
2013,"Los Angeles County, CA","05000US06037","SAE Institute of Technology-Los Angeles","476911",78,7
2013,"Los Angeles County, CA","05000US06037","Brand College","479992",13,2
2013,"Los Angeles County, CA","05000US06037","Abraham Lincoln University","480444",7,12
2013,"Los Angeles County, CA","05000US06037","Advanced Computing Institute","481234",21,15
2013,"Los Angeles County, CA","05000US06037","San Joaquin Valley College-Lancaster","481775",0,2
2013,"Los Angeles County, CA","05000US06037","American Career College-Long Beach","481854",0,2
2013,"Los Angeles County, CA","05000US06037","DeVry University-California","482431",1497,966
2013,"Los Angeles County, CA","05000US06037","American College of Healthcare","483009",0,0
2014,"Los Angeles County, CA","05000US06037","American Academy of Dramatic Arts-Los Angeles","108852",48,61
2014,"Los Angeles County, CA","05000US06037","American Film Institute Conservatory","108870",84,48
2014,"Los Angeles County, CA","05000US06037","American Beauty College","108977",24,20
2014,"Los Angeles County, CA","05000US06037","American Career College-Los Angeles","109040",253,912
2014,"Los Angeles County, CA","05000US06037","Antelope Valley College","109350",787,1051
2014,"Los Angeles County, CA","05000US06037","Art Center College of Design","109651",233,213
2014,"Los Angeles County, CA","05000US06037","Associated Technical College-Los Angeles","109721",116,166
2014,"Los Angeles County, CA","05000US06037","Azusa Pacific University","109785",993,1977
2014,"Los Angeles County, CA","05000US06037","Biola University","110097",588,742
2014,"Los Angeles County, CA","05000US06037","Bryan University","110219",79,130
2014,"Los Angeles County, CA","05000US06037","Phillips Graduate Institute","110307",14,56
2014,"Los Angeles County, CA","05000US06037","California Institute of Technology","110404",347,179
2014,"Los Angeles County, CA","05000US06037","California State Polytechnic University-Pomona","110529",2499,2053
2014,"Los Angeles County, CA","05000US06037","California State University-Dominguez Hills","110547",1149,2268
2014,"Los Angeles County, CA","05000US06037","California State University-Long Beach","110583",3764,5466
2014,"Los Angeles County, CA","05000US06037","California State University-Los Angeles","110592",1803,2899
2014,"Los Angeles County, CA","05000US06037","California State University-Northridge","110608",3766,5441
2014,"Los Angeles County, CA","05000US06037","University of California-Los Angeles","110662",5658,6409
2014,"Los Angeles County, CA","05000US06037","California Institute of the Arts","111081",203,208
2014,"Los Angeles County, CA","05000US06037","College of the Canyons","111461",917,1258
2014,"Los Angeles County, CA","05000US06037","Casa Loma College-Van Nuys","111638",37,115
2014,"Los Angeles County, CA","05000US06037","Cerritos College","111887",665,1147
2014,"Los Angeles County, CA","05000US06037","Charles R Drew University of Medicine and Science","111966",67,161
2014,"Los Angeles County, CA","05000US06037","Citrus College","112172",974,1405
2014,"Los Angeles County, CA","05000US06037","Claremont Graduate University","112251",289,341
2014,"Los Angeles County, CA","05000US06037","Claremont McKenna College","112260",202,190
2014,"Los Angeles County, CA","05000US06037","Western University of Health Sciences","112525",326,630
2014,"Los Angeles County, CA","05000US06037","Columbia College-Hollywood","112570",52,22
2014,"Los Angeles County, CA","05000US06037","El Camino College-Compton Center","112686",118,240
2014,"Los Angeles County, CA","05000US06037","East Los Angeles College","113856",1611,2129
2014,"Los Angeles County, CA","05000US06037","El Camino Community College District","113980",1092,1351
2014,"Los Angeles County, CA","05000US06037","Elegance International","114044",6,83
2014,"Los Angeles County, CA","05000US06037","Marinello Schools of Beauty-Burbank","114071",11,264
