year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2015,"New York, NY","16000US3651000","School Counseling & Guidance Services","131101","Research Doctorate","17",15
2013,"New York, NY","16000US3651000","School Counseling & Guidance Services","131101","Research Doctorate","17",15
2014,"New York, NY","16000US3651000","School Counseling & Guidance Services","131101","Research Doctorate","17",11
2015,"New York, NY","16000US3651000","Adult & Continuing Education","131201","Research Doctorate","17",17
2013,"New York, NY","16000US3651000","Adult & Continuing Education","131201","Research Doctorate","17",6
2014,"New York, NY","16000US3651000","Adult & Continuing Education","131201","Research Doctorate","17",16
2013,"New York, NY","16000US3651000","Elementary Education & Teaching","131202","Research Doctorate","17",2
2015,"New York, NY","16000US3651000","Early Childhood Education & Teaching","131210","Research Doctorate","17",1
2013,"New York, NY","16000US3651000","Early Childhood Education & Teaching","131210","Research Doctorate","17",1
2014,"New York, NY","16000US3651000","Early Childhood Education & Teaching","131210","Research Doctorate","17",2
2015,"New York, NY","16000US3651000","Art Teacher Education","131302","Research Doctorate","17",5
2013,"New York, NY","16000US3651000","Art Teacher Education","131302","Research Doctorate","17",5
2014,"New York, NY","16000US3651000","Art Teacher Education","131302","Research Doctorate","17",1
2015,"New York, NY","16000US3651000","English & Language Arts Teacher Education","131305","Research Doctorate","17",8
2013,"New York, NY","16000US3651000","English & Language Arts Teacher Education","131305","Research Doctorate","17",7
2014,"New York, NY","16000US3651000","English & Language Arts Teacher Education","131305","Research Doctorate","17",3
2015,"New York, NY","16000US3651000","Health Teacher Education","131307","Research Doctorate","17",17
2013,"New York, NY","16000US3651000","Health Teacher Education","131307","Research Doctorate","17",16
2014,"New York, NY","16000US3651000","Health Teacher Education","131307","Research Doctorate","17",10
2013,"New York, NY","16000US3651000","Family & Consumer Sciences Teacher Education","131308","Research Doctorate","17",1
2015,"New York, NY","16000US3651000","Mathematics Teacher Education","131311","Research Doctorate","17",22
2013,"New York, NY","16000US3651000","Mathematics Teacher Education","131311","Research Doctorate","17",22
2014,"New York, NY","16000US3651000","Mathematics Teacher Education","131311","Research Doctorate","17",26
2015,"New York, NY","16000US3651000","Music Teacher Education","131312","Research Doctorate","17",10
2013,"New York, NY","16000US3651000","Music Teacher Education","131312","Research Doctorate","17",15
2014,"New York, NY","16000US3651000","Music Teacher Education","131312","Research Doctorate","17",12
2015,"New York, NY","16000US3651000","Physical Education Teaching & Coaching","131314","Research Doctorate","17",6
2013,"New York, NY","16000US3651000","Physical Education Teaching & Coaching","131314","Research Doctorate","17",4
2014,"New York, NY","16000US3651000","Physical Education Teaching & Coaching","131314","Research Doctorate","17",1
2015,"New York, NY","16000US3651000","Reading Teacher Education","131315","Research Doctorate","17",2
2013,"New York, NY","16000US3651000","Reading Teacher Education","131315","Research Doctorate","17",4
2014,"New York, NY","16000US3651000","Reading Teacher Education","131315","Research Doctorate","17",3
2015,"New York, NY","16000US3651000","General Science Teacher Education","131316","Research Doctorate","17",17
2013,"New York, NY","16000US3651000","General Science Teacher Education","131316","Research Doctorate","17",7
2014,"New York, NY","16000US3651000","General Science Teacher Education","131316","Research Doctorate","17",17
2015,"New York, NY","16000US3651000","Social Studies Teacher Education","131318","Research Doctorate","17",2
2013,"New York, NY","16000US3651000","Social Studies Teacher Education","131318","Research Doctorate","17",5
2014,"New York, NY","16000US3651000","Social Studies Teacher Education","131318","Research Doctorate","17",3
2015,"New York, NY","16000US3651000","Teaching English as a Second or Foreign Language Instructor","131401","Research Doctorate","17",4
