year,geo_name,geo,cip_name,cip,degree_name,degree,grads_total
2014,"Los Angeles County, CA","05000US06037","Near & Middle Eastern Studies","050108","Bachelor's Degree","5",18
2015,"Los Angeles County, CA","05000US06037","Russian Studies","050110","Bachelor's Degree","5",1
2013,"Los Angeles County, CA","05000US06037","Russian Studies","050110","Bachelor's Degree","5",5
2014,"Los Angeles County, CA","05000US06037","Russian Studies","050110","Bachelor's Degree","5",6
2015,"Los Angeles County, CA","05000US06037","Scandinavian Studies","050111","Bachelor's Degree","5",2
2015,"Los Angeles County, CA","05000US06037","Southeast Asian Studies","050113","Bachelor's Degree","5",2
2013,"Los Angeles County, CA","05000US06037","Southeast Asian Studies","050113","Bachelor's Degree","5",5
2014,"Los Angeles County, CA","05000US06037","Southeast Asian Studies","050113","Bachelor's Degree","5",2
2015,"Los Angeles County, CA","05000US06037","French Studies","050124","Bachelor's Degree","5",9
2013,"Los Angeles County, CA","05000US06037","French Studies","050124","Bachelor's Degree","5",7
2014,"Los Angeles County, CA","05000US06037","French Studies","050124","Bachelor's Degree","5",5
2013,"Los Angeles County, CA","05000US06037","German Studies","050125","Bachelor's Degree","5",2
2014,"Los Angeles County, CA","05000US06037","German Studies","050125","Bachelor's Degree","5",4
2015,"Los Angeles County, CA","05000US06037","Spanish & Iberian Studies","050130","Bachelor's Degree","5",1
2013,"Los Angeles County, CA","05000US06037","Spanish & Iberian Studies","050130","Bachelor's Degree","5",1
2015,"Los Angeles County, CA","05000US06037","Other Area Studies","050199","Bachelor's Degree","5",30
2013,"Los Angeles County, CA","05000US06037","Other Area Studies","050199","Bachelor's Degree","5",20
2014,"Los Angeles County, CA","05000US06037","Other Area Studies","050199","Bachelor's Degree","5",33
2015,"Los Angeles County, CA","05000US06037","African-American & Black Studies","050201","Bachelor's Degree","5",70
2013,"Los Angeles County, CA","05000US06037","African-American & Black Studies","050201","Bachelor's Degree","5",90
2014,"Los Angeles County, CA","05000US06037","African-American & Black Studies","050201","Bachelor's Degree","5",83
2015,"Los Angeles County, CA","05000US06037","Native American Studies","050202","Bachelor's Degree","5",2
2014,"Los Angeles County, CA","05000US06037","Native American Studies","050202","Bachelor's Degree","5",1
2015,"Los Angeles County, CA","05000US06037","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Bachelor's Degree","5",193
2013,"Los Angeles County, CA","05000US06037","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Bachelor's Degree","5",196
2014,"Los Angeles County, CA","05000US06037","Hispanic-American, Puerto Rican, & Mexican-American Studies","050203","Bachelor's Degree","5",213
2015,"Los Angeles County, CA","05000US06037","Asian-American Studies","050206","Bachelor's Degree","5",51
2013,"Los Angeles County, CA","05000US06037","Asian-American Studies","050206","Bachelor's Degree","5",69
2014,"Los Angeles County, CA","05000US06037","Asian-American Studies","050206","Bachelor's Degree","5",56
2015,"Los Angeles County, CA","05000US06037","Women's Studies","050207","Bachelor's Degree","5",50
2013,"Los Angeles County, CA","05000US06037","Women's Studies","050207","Bachelor's Degree","5",108
2014,"Los Angeles County, CA","05000US06037","Women's Studies","050207","Bachelor's Degree","5",62
2015,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Bachelor's Degree","5",147
2013,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Bachelor's Degree","5",101
2014,"Los Angeles County, CA","05000US06037","Other Ethnic, Minority, Gender, & Group Studies","050299","Bachelor's Degree","5",125
2015,"Los Angeles County, CA","05000US06037","General Communication","090100","Bachelor's Degree","5",42
2013,"Los Angeles County, CA","05000US06037","General Communication","090100","Bachelor's Degree","5",32
2014,"Los Angeles County, CA","05000US06037","General Communication","090100","Bachelor's Degree","5",52
2015,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Bachelor's Degree","5",1793
2013,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Bachelor's Degree","5",867
2014,"Los Angeles County, CA","05000US06037","Speech Communication & Rhetoric","090101","Bachelor's Degree","5",888
2015,"Los Angeles County, CA","05000US06037","Mass Communication & Media Studies","090102","Bachelor's Degree","5",48
2013,"Los Angeles County, CA","05000US06037","Mass Communication & Media Studies","090102","Bachelor's Degree","5",47
2014,"Los Angeles County, CA","05000US06037","Mass Communication & Media Studies","090102","Bachelor's Degree","5",52
2015,"Los Angeles County, CA","05000US06037","Other Communication & Media Studies","090199","Bachelor's Degree","5",11
2013,"Los Angeles County, CA","05000US06037","Other Communication & Media Studies","090199","Bachelor's Degree","5",11
2014,"Los Angeles County, CA","05000US06037","Other Communication & Media Studies","090199","Bachelor's Degree","5",14
2015,"Los Angeles County, CA","05000US06037","Journalism","090401","Bachelor's Degree","5",470
2013,"Los Angeles County, CA","05000US06037","Journalism","090401","Bachelor's Degree","5",373
2014,"Los Angeles County, CA","05000US06037","Journalism","090401","Bachelor's Degree","5",410
2015,"Los Angeles County, CA","05000US06037","Broadcast Journalism","090402","Bachelor's Degree","5",37
2013,"Los Angeles County, CA","05000US06037","Broadcast Journalism","090402","Bachelor's Degree","5",40
2014,"Los Angeles County, CA","05000US06037","Broadcast Journalism","090402","Bachelor's Degree","5",46
2015,"Los Angeles County, CA","05000US06037","Radio & Television","090701","Bachelor's Degree","5",601
2013,"Los Angeles County, CA","05000US06037","Radio & Television","090701","Bachelor's Degree","5",534
2014,"Los Angeles County, CA","05000US06037","Radio & Television","090701","Bachelor's Degree","5",573
2015,"Los Angeles County, CA","05000US06037","Digital Communication & Multimedia","090702","Bachelor's Degree","5",61
2013,"Los Angeles County, CA","05000US06037","Digital Communication & Multimedia","090702","Bachelor's Degree","5",44
2014,"Los Angeles County, CA","05000US06037","Digital Communication & Multimedia","090702","Bachelor's Degree","5",68
2015,"Los Angeles County, CA","05000US06037","Public Relations, Advertising, & Applied Communication","090900","Bachelor's Degree","5",39
2013,"Los Angeles County, CA","05000US06037","Public Relations, Advertising, & Applied Communication","090900","Bachelor's Degree","5",40
2014,"Los Angeles County, CA","05000US06037","Public Relations, Advertising, & Applied Communication","090900","Bachelor's Degree","5",21
2015,"Los Angeles County, CA","05000US06037","General Organizational Communication","090901","Bachelor's Degree","5",6
2013,"Los Angeles County, CA","05000US06037","General Organizational Communication","090901","Bachelor's Degree","5",5
2014,"Los Angeles County, CA","05000US06037","General Organizational Communication","090901","Bachelor's Degree","5",5
2015,"Los Angeles County, CA","05000US06037","Public Relations & Image Management","090902","Bachelor's Degree","5",80
2013,"Los Angeles County, CA","05000US06037","Public Relations & Image Management","090902","Bachelor's Degree","5",70
